"Table 11. Poverty Gap with Measures of Precision, by Region and Province:  2018, 2021, and 2023"

"Geolocation";"Estimate (%) 2018";"Estimate (%) 2021";"Estimate (%) 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";2.6;3.0;2.2;0.1;0.1;0.1;2.5;2.9;2.2;2.7;3.1;2.3
"..National Capital Region (NCR) 1/, 2/, 3/";0.2;0.3;0.1;0.0;0.0;0.0;0.2;0.3;0.1;0.3;0.4;0.2
"....1st District 1/";0.4;0.1;0.3;0.1;0.0;0.1;0.2;0.0;0.1;0.6;0.2;0.5
"....2nd District 2/, 3/";0.2;0.3;0.1;0.0;0.1;0.0;0.1;0.2;0.1;0.3;0.4;0.1
"....3rd District 2/, 3/";0.4;0.5;0.2;0.1;0.1;0.0;0.2;0.3;0.1;0.5;0.6;0.2
"....4th District 1/, 2/";0.1;0.4;0.1;0.0;0.1;0.0;0.1;0.3;0.1;0.1;0.5;0.2
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";1.8;1.3;0.7;0.1;0.1;0.1;1.6;1.2;0.6;2.0;1.5;0.9
"....Abra 3/";3.4;3.1;1.9;0.4;0.4;0.5;2.7;2.3;1.0;4.2;3.8;2.8
"....Apayao 1/, 3/";3.4;0.9;0.5;0.5;0.2;0.2;2.4;0.4;0.1;4.3;1.3;0.9
"....Benguet 2/, 3/";0.9;0.8;0.4;0.2;0.1;0.1;0.6;0.6;0.2;1.2;1.0;0.6
"....Ifugao 3/";1.6;1.0;0.6;0.3;0.2;0.1;1.0;0.6;0.4;2.3;1.4;0.9
"....Kalinga 2/, 3/";1.7;1.1;0.3;0.3;0.3;0.1;1.1;0.6;0.2;2.3;1.6;0.5
"....Mt. Province 2/, 3/";4.0;3.1;1.8;0.5;0.4;0.3;3.0;2.3;1.2;5.0;3.8;2.3
"..Region I (Ilocos Region) 1/, 2/";1.2;2.3;1.6;0.1;0.2;0.2;0.9;1.9;1.2;1.4;2.7;2.0
"....Ilocos Norte 2/, 3/";0.3;0.2;0.0;0.1;0.1;0.0;0.2;0.1;0.0;0.5;0.4;0.1
"....Ilocos Sur 1/, 2/";0.9;2.4;0.9;0.2;0.3;0.2;0.6;1.7;0.6;1.2;3.0;1.2
"....La Union 1/, 3/";0.4;1.2;1.2;0.1;0.2;0.2;0.2;0.9;0.7;0.6;1.5;1.6
"....Pangasinan 1/";1.6;3.0;2.2;0.2;0.3;0.3;1.2;2.4;1.5;2.1;3.6;2.8
"..Region II (Cagayan Valley) 2/, 3/";2.4;2.4;1.2;0.2;0.2;0.1;2.0;1.9;1.0;2.8;2.9;1.5
"....Batanes 1/, 3/";1.2;0.4;0.6;0.2;0.1;0.2;0.8;0.2;0.2;1.7;0.6;0.9
"....Cagayan 1/, 3/";2.4;1.3;1.1;0.3;0.2;0.2;1.8;0.9;0.6;3.0;1.7;1.5
"....Isabela 2/, 3/";2.6;3.4;1.4;0.3;0.5;0.2;1.9;2.5;0.9;3.2;4.3;1.9
"....Nueva Vizcaya 2/, 3/";2.4;2.3;1.3;0.4;0.5;0.2;1.6;1.4;0.8;3.1;3.2;1.7
"....Quirino 1/, 3/";1.5;1.0;0.9;0.2;0.2;0.2;1.1;0.7;0.6;1.9;1.3;1.2
"..Region III (Central Luzon) 1/, 2/";0.9;1.6;1.0;0.1;0.1;0.1;0.8;1.3;0.8;1.1;1.8;1.1
"....Aurora 1/, 2/";2.2;3.6;1.8;0.4;0.5;0.2;1.5;2.6;1.4;2.9;4.6;2.2
"....Bataan";1.1;1.6;1.2;0.2;0.3;0.2;0.7;1.1;0.9;1.5;2.1;1.5
"....Bulacan 1/, 2/";0.6;1.6;0.9;0.2;0.3;0.1;0.3;1.0;0.6;0.9;2.3;1.2
"....Nueva Ecija";1.1;1.7;1.0;0.2;0.3;0.2;0.8;1.1;0.6;1.5;2.2;1.4
"....Pampanga 2/";0.3;0.4;0.1;0.1;0.1;0.0;0.1;0.3;0.1;0.6;0.6;0.2
"....Tarlac";1.2;1.6;1.4;0.2;0.2;0.4;0.8;1.2;0.5;1.5;2.0;2.2
"....Zambales 1/, 2/";2.5;3.9;2.4;0.4;0.4;0.3;1.8;3.2;1.9;3.2;4.6;2.9
"..Region IV-A (CALABARZON) 1/, 2/";0.9;1.4;0.9;0.1;0.1;0.1;0.8;1.2;0.7;1.1;1.6;1.0
"....Batangas 1/, 3/";1.5;0.7;0.8;0.2;0.2;0.2;1.1;0.4;0.5;1.9;1.0;1.1
"....Cavite 2/";0.8;1.3;0.7;0.2;0.3;0.2;0.4;0.8;0.4;1.1;1.8;1.0
"....Laguna 1/, 3/";0.4;1.4;0.9;0.1;0.3;0.2;0.2;0.9;0.6;0.5;1.9;1.2
"....Quezon 1/, 2/, 3/";1.9;3.6;1.0;0.4;0.5;0.2;1.2;2.7;0.6;2.7;4.5;1.4
"....Rizal 2/, 3/";0.6;0.6;1.2;0.1;0.1;0.2;0.3;0.4;0.8;0.9;0.9;1.6
"..MIMAROPA Region 1/, 3/";2.3;3.5;3.6;0.2;0.3;0.4;1.9;3.0;2.9;2.6;4.0;4.3
"....Marinduque 2/, 3/";2.1;2.9;1.4;0.3;0.3;0.2;1.6;2.3;1.0;2.7;3.5;1.8
"....Occidental Mindoro 1/";4.0;6.1;5.6;0.7;0.8;1.2;2.6;4.7;3.3;5.4;7.6;7.9
"....Oriental Mindoro 1/, 3/";1.5;3.4;3.4;0.4;0.6;0.8;0.8;2.2;1.8;2.3;4.6;4.9
"....Palawan 2/, 3/";1.6;1.7;3.3;0.3;0.3;0.5;1.0;1.1;2.3;2.2;2.3;4.4
"....Romblon 1/, 2/";4.1;7.1;4.1;0.5;0.6;0.4;3.1;6.0;3.2;5.0;8.3;4.9
"..Region V (Bicol Region) 1/, 2/";3.9;5.0;4.2;0.2;0.3;0.2;3.5;4.5;3.8;4.3;5.5;4.6
"....Albay";2.8;3.4;3.4;0.3;0.5;0.3;2.2;2.4;2.7;3.4;4.3;4.0
"....Camarines Norte 1/, 3/";4.5;3.2;3.3;0.4;0.4;0.3;3.7;2.5;2.8;5.4;4.0;3.9
"....Camarines Sur 1/, 2/";4.2;7.5;5.4;0.5;0.7;0.5;3.3;6.2;4.3;5.1;8.8;6.4
"....Catanduanes 2/, 3/";2.8;3.3;5.1;0.3;0.3;0.5;2.2;2.7;4.1;3.5;4.0;6.1
"....Masbate 2/, 3/";5.2;4.5;2.2;0.5;0.5;0.3;4.2;3.5;1.7;6.1;5.4;2.8
"....Sorsogon 3/";3.8;4.4;5.5;0.4;0.4;0.5;3.0;3.6;4.6;4.6;5.3;6.4
"..Region VI (Western Visayas) r2, 1/, 2/";1.8;2.6;1.8;0.2;0.2;0.1;1.5;2.2;1.5;2.1;3.1;2.0
"....Aklan 1/, 2/, 3/";1.4;3.0;0.3;0.3;0.4;0.1;0.9;2.2;0.2;1.9;3.8;0.5
"....Antique 1/, 2/";2.5;4.3;2.6;0.3;0.6;0.5;1.9;3.2;1.7;3.1;5.4;3.5
"....Capiz 1/, 2/, 3/";0.5;0.9;1.6;0.1;0.2;0.3;0.3;0.6;1.1;0.7;1.3;2.1
"....Guimaras 2/, 3/";1.1;1.2;0.3;0.2;0.2;0.1;0.6;0.8;0.2;1.6;1.6;0.5
"....Iloilo";2.2;2.8;2.1;0.3;0.4;0.2;1.6;2.0;1.6;2.7;3.7;2.5
"..Negros Island Region (NIR) 2/, 3/";3.6;4.0;5.5;0.4;0.3;0.5;2.8;3.4;4.6;4.4;4.7;6.4
"....Negros Occidental 2/, 3/";3.1;3.3;5.1;0.5;0.4;0.6;2.1;2.6;3.9;4.1;4.0;6.3
"....Negros Oriental 3/";4.8;6.0;6.7;0.6;0.8;0.7;3.6;4.5;5.3;6.0;7.5;8.0
"....Siquijor 1/, 3/";1.4;0.3;0.3;0.3;0.1;0.1;0.7;0.1;0.1;2.0;0.5;0.5
"..Region VII (Central Visayas) r2, 1/, 2/";2.3;5.7;2.5;0.3;0.5;0.2;1.8;4.8;2.1;2.9;6.6;2.9
"....Bohol 1/, 2/";2.8;4.6;3.2;0.4;0.4;0.5;2.1;3.7;2.3;3.5;5.4;4.1
"....Cebu 1/, 2/";2.2;6.0;2.4;0.3;0.6;0.2;1.6;4.8;1.9;2.8;7.1;2.8
"..Region VIII (Eastern Visayas) 2/, 3/";5.4;5.2;4.4;0.3;0.3;0.2;4.9;4.7;4.0;5.9;5.8;4.9
"....Biliran 1/, 2/, 3/";2.3;4.6;1.3;0.3;0.5;0.2;1.8;3.6;0.9;2.8;5.6;1.6
"....Eastern Samar 1/, 2/, 3/";11.2;7.5;5.2;0.7;0.7;0.6;9.8;6.1;4.1;12.6;8.9;6.4
"....Leyte";4.7;5.2;4.4;0.4;0.5;0.4;3.9;4.1;3.7;5.6;6.2;5.2
"....Northern Samar 1/";5.9;3.7;4.9;0.5;0.4;0.6;4.9;3.0;3.8;6.9;4.4;6.0
"....Southern Leyte 2/, 3/";3.2;3.2;1.2;0.3;0.3;0.2;2.6;2.5;0.8;3.9;3.9;1.5
"....Samar";4.9;6.1;5.8;0.6;0.6;0.6;3.8;4.9;4.6;6.0;7.4;7.0
"..Region IX (Zamboanga Peninsula)";6.1;6.1;5.8;0.4;0.3;0.4;5.4;5.5;5.1;6.8;6.8;6.5
"....Zamboanga del Norte 2/";10.1;11.9;9.4;0.9;0.9;0.9;8.3;10.1;7.7;12.0;13.8;11.1
"....Zamboanga del Sur 2/, 3/";3.7;3.1;5.1;0.4;0.4;0.5;2.9;2.4;4.1;4.4;3.8;6.1
"....Zamboanga Sibugay 2/, 3/";6.1;6.3;3.1;0.6;0.6;0.3;4.9;5.1;2.4;7.3;7.5;3.7
"....Isabela City 1/, 3/";9.8;2.1;1.4;1.2;0.4;0.3;7.4;1.5;0.7;12.1;2.8;2.0
"..Region X (Northern Mindanao) 1/, 3/";3.4;4.5;3.9;0.2;0.3;0.2;3.0;3.9;3.5;3.7;5.0;4.3
"....Bukidnon";4.5;5.7;4.5;0.4;0.7;0.5;3.6;4.3;3.6;5.3;7.1;5.4
"....Camiguin 2/, 3/";3.4;3.1;1.6;0.4;0.4;0.3;2.6;2.4;1.1;4.2;3.9;2.1
"....Lanao del Norte 1/, 3/";3.6;6.6;6.0;0.3;0.8;0.6;2.9;5.1;4.9;4.2;8.1;7.1
"....Misamis Occidental 2/";3.7;3.4;4.8;0.5;0.4;0.4;2.9;2.5;4.0;4.6;4.3;5.6
"....Misamis Oriental 2/";2.2;2.7;2.0;0.2;0.2;0.2;1.8;2.3;1.7;2.6;3.2;2.3
"..Region XI (Davao Region)";2.9;2.5;2.4;0.2;0.2;0.3;2.5;2.2;1.8;3.4;2.9;3.1
"....Davao del Norte";1.9;1.5;1.5;0.3;0.4;0.4;1.2;0.7;0.8;2.6;2.3;2.3
"....Davao del Sur";1.8;1.5;2.2;0.4;0.2;0.6;1.0;1.1;1.0;2.5;2.0;3.4
"....Davao Oriental 1/, 2/";6.0;4.2;5.8;0.5;0.5;0.5;5.0;3.2;4.7;7.0;5.2;6.8
"....Davao de Oro 2/, 3/";4.0;3.6;1.2;0.4;0.5;0.2;3.2;2.7;0.8;4.8;4.6;1.6
"....Davao Occidental 2/, 3/";6.8;8.8;4.0;0.7;0.9;0.9;5.5;7.0;2.1;8.1;10.5;5.8
"..Region XII (SOCCSKSARGEN) 2/, 3/, 4/";5.8;5.3;4.0;0.4;0.3;0.3;5.0;4.6;3.3;6.6;5.9;4.6
"....Cotabato";6.0;5.9;4.4;0.8;0.8;0.7;4.5;4.4;3.0;7.5;7.4;5.7
"....Sarangani 2/, 3/";11.5;9.3;5.6;1.6;0.9;1.0;8.5;7.5;3.8;14.5;11.1;7.5
"....South Cotabato 2/";3.3;3.1;2.0;0.6;0.4;0.3;2.0;2.3;1.4;4.5;3.8;2.6
"....Sultan Kudarat";6.5;5.9;6.4;0.8;0.7;1.0;5.0;4.5;4.5;8.1;7.4;8.2
"..Region XIII (Caraga) 1/, 2/, 3/";5.4;6.3;3.0;0.3;0.3;0.2;4.9;5.7;2.7;5.9;6.8;3.4
"....Agusan del Norte 1/, 2/, 3/";4.3;5.9;3.1;0.3;0.4;0.3;3.7;5.1;2.5;5.0;6.6;3.7
"....Agusan del Sur 2/, 3/";7.0;8.4;5.0;0.7;0.7;0.5;5.7;7.1;4.0;8.4;9.7;6.1
"....Surigao del Norte 2/, 3/";6.1;5.0;1.1;0.5;0.7;0.2;5.0;3.6;0.8;7.2;6.3;1.5
"....Surigao del Sur 2/, 3/";4.3;5.3;1.7;0.4;0.6;0.3;3.4;4.1;1.2;5.1;6.5;2.2
"....Dinagat Islands";5.6;5.9;5.2;0.7;0.9;0.6;4.1;4.2;4.1;7.0;7.6;6.3
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) r1, 1/, 2/, 3/, 5/";14.5;6.2;4.7;0.5;0.3;0.2;13.5;5.6;4.2;15.5;6.8;5.1
"....Basilan 1/, 2/, 3/";20.5;11.1;6.7;1.1;1.0;0.6;18.3;9.1;5.5;22.7;13.0;7.9
"....Lanao del Sur 1/, 2/, 3/";19.5;0.8;1.4;1.1;0.1;0.2;17.2;0.6;1.0;21.7;1.0;1.7
"....Maguindanao 1/, 3/";10.2;6.4;6.2;1.0;0.7;0.5;8.2;5.0;5.3;12.2;7.8;7.1
"......Maguindanao del Norte";..;..;5.7;..;..;0.5;..;..;4.8;..;..;6.7
"......Maguindanao del Sur";..;..;6.7;..;..;0.8;..;..;5.2;..;..;8.1
"....Sulu r1, 1/, 2/, 3/";20.6;9.5;2.2;0.8;1.0;0.3;19.1;7.6;1.6;22.2;11.3;2.9
"....Tawi-tawi 1/, 3/";2.4;6.0;7.3;0.3;0.8;0.9;1.9;4.5;5.5;2.9;7.6;9.1
"....Cotabato City";8.0;7.7;7.1;0.7;0.8;0.8;6.6;6.2;5.6;9.5;9.2;8.6
