"Table 12. Severity of Poverty with Measures of Precision, by Region and Province:  2018, 2021, and 2023"

"Geolocation";"Estimate (%) 2018";"Estimate (%) 2021";"Estimate (%) 2023";"Standard Error 2018";"Standard Error 2021";"Standard Error 2023";"95% Confidence Interval (Lower Limit) 2018";"95% Confidence Interval (Lower Limit) 2021";"95% Confidence Interval (Lower Limit) 2023";"95% Confidence Interval (Upper Limit) 2018";"95% Confidence Interval (Upper Limit) 2021";"95% Confidence Interval (Upper Limit) 2023"
"PHILIPPINES r1, 1/, 2/, 3/";0.9;1.0;0.7;0.0;0.0;0.0;0.8;1.0;0.7;0.9;1.1;0.8
"..National Capital Region (NCR) **, 2/, 3/";0.1;0.1;-;0.0;0.0;-;0.0;0.1;-;0.1;0.1;-
"....1st District **, 1/";0.1;-;0.1;0.0;0.0;0.0;0.0;-;0.0;0.2;-;0.2
"....2nd District **, 2/";0.1;0.1;-;0.0;0.0;-;0.0;0.0;-;0.1;0.1;-
"....3rd District **, 2/, 3/";0.1;0.1;-;0.0;0.0;-;0.0;0.1;-;0.2;0.2;-
"....4th District **, 1/, 2/";-;0.1;-;-;0.0;-;-;0.1;-;-;0.1;-
"..Cordillera Administrative Region (CAR) 1/, 2/, 3/";0.6;0.4;0.2;0.0;0.0;0.0;0.5;0.3;0.1;0.7;0.5;0.3
"....Abra";1.1;0.9;0.6;0.2;0.2;0.2;0.8;0.6;0.3;1.4;1.2;1.0
"....Apayao 1/, 3/";1.0;0.2;0.1;0.2;0.1;0.1;0.7;0.1;0.0;1.4;0.4;0.2
"....Benguet 2/, 3/";0.3;0.2;0.1;0.1;0.0;0.0;0.2;0.2;0.0;0.4;0.3;0.2
"....Ifugao 3/";0.4;0.3;0.1;0.1;0.1;0.0;0.2;0.1;0.1;0.6;0.4;0.2
"....Kalinga 2/, 3/";0.5;0.3;0.1;0.1;0.1;0.0;0.3;0.1;0.0;0.7;0.5;0.1
"....Mt. Province 2/, 3/";1.3;0.9;0.5;0.2;0.1;0.1;0.9;0.6;0.3;1.7;1.1;0.6
"..Region I (Ilocos Region) 1/, 2/";0.3;0.7;0.5;0.1;0.1;0.1;0.2;0.6;0.3;0.4;0.9;0.6
"....Ilocos Norte **";0.1;0.0;-;0.0;0.0;-;0.0;0.0;-;0.1;0.1;-
"....Ilocos Sur 1/, 2/";0.2;0.8;0.2;0.0;0.1;0.1;0.1;0.5;0.1;0.3;1.0;0.3
"....La Union 1/, 3/";0.1;0.3;0.3;0.0;0.1;0.1;0.0;0.2;0.2;0.1;0.5;0.5
"....Pangasinan 1/, 2/";0.4;1.0;0.6;0.1;0.1;0.1;0.3;0.7;0.4;0.6;1.2;0.8
"..Region II (Cagayan Valley) 2/, 3/";0.7;0.8;0.3;0.1;0.1;0.1;0.6;0.6;0.2;0.8;0.9;0.4
"....Batanes 1/";0.3;0.1;0.2;0.1;0.0;0.1;0.2;0.0;0.0;0.5;0.1;0.3
"....Cagayan 1/, 3/";0.7;0.4;0.3;0.1;0.1;0.1;0.5;0.2;0.1;0.9;0.5;0.5
"....Isabela 2/, 3/";0.8;1.1;0.3;0.1;0.2;0.1;0.5;0.7;0.2;1.0;1.5;0.5
"....Nueva Vizcaya 3/";0.7;0.8;0.4;0.1;0.2;0.1;0.5;0.4;0.2;1.0;1.2;0.5
"....Quirino 3/";0.4;0.2;0.2;0.1;0.0;0.0;0.2;0.2;0.1;0.6;0.3;0.3
"..Region III (Central Luzon) 1/, 2/";0.3;0.5;0.3;0.0;0.1;0.0;0.2;0.4;0.2;0.3;0.6;0.3
"....Aurora 1/, 2/";0.6;1.1;0.5;0.1;0.2;0.1;0.4;0.7;0.3;0.9;1.5;0.6
"....Bataan";0.3;0.5;0.3;0.1;0.1;0.1;0.2;0.3;0.2;0.5;0.8;0.4
"....Bulacan 1/, 2/";0.2;0.5;0.2;0.1;0.1;0.1;0.1;0.2;0.1;0.3;0.8;0.3
"....Nueva Ecija";0.3;0.4;0.2;0.1;0.1;0.1;0.2;0.3;0.1;0.4;0.6;0.4
"....Pampanga **, 2/";0.1;0.1;-;0.0;0.0;-;0.0;0.1;-;0.2;0.2;-
"....Tarlac";0.3;0.5;0.5;0.1;0.1;0.3;0.2;0.3;0.0;0.5;0.6;1.0
"....Zambales 2/";0.9;1.3;0.8;0.2;0.2;0.1;0.6;1.0;0.6;1.3;1.6;1.0
"..Region IV-A (CALABARZON) 1/, 2/";0.3;0.4;0.2;0.0;0.1;0.0;0.2;0.3;0.2;0.3;0.5;0.3
"....Batangas 1/";0.4;0.2;0.2;0.1;0.1;0.1;0.3;0.1;0.1;0.6;0.3;0.3
"....Cavite";0.2;0.4;0.2;0.1;0.1;0.1;0.1;0.2;0.1;0.4;0.6;0.3
"....Laguna 1/, 3/";0.1;0.4;0.2;0.0;0.1;0.1;0.0;0.2;0.1;0.1;0.6;0.3
"....Quezon 1/, 2/, 3/";0.6;1.2;0.3;0.1;0.2;0.1;0.4;0.8;0.1;0.9;1.5;0.4
"....Rizal 2/, 3/";0.2;0.2;0.4;0.1;0.0;0.1;0.1;0.1;0.2;0.3;0.3;0.5
"..MIMAROPA Region 1/, 3/";0.7;1.2;1.3;0.1;0.1;0.2;0.6;1.0;0.9;0.9;1.4;1.7
"....Marinduque 2/, 3/";0.7;0.8;0.4;0.1;0.1;0.1;0.5;0.6;0.2;0.9;1.0;0.5
"....Occidental Mindoro";1.5;2.3;2.2;0.3;0.3;0.6;0.9;1.6;1.1;2.1;3.0;3.4
"....Oriental Mindoro 1/";0.5;1.3;1.3;0.2;0.3;0.5;0.2;0.7;0.4;0.8;1.8;2.2
"....Palawan 2/, 3/";0.5;0.5;1.1;0.1;0.1;0.2;0.2;0.3;0.7;0.7;0.8;1.6
"....Romblon 1/, 2/";1.2;2.3;1.2;0.2;0.2;0.2;0.9;1.9;0.8;1.6;2.8;1.5
"..Region V (Bicol Region) 1/, 2/";1.2;1.7;1.3;0.1;0.1;0.1;1.0;1.4;1.1;1.3;1.9;1.4
"....Albay";0.8;1.1;0.9;0.1;0.2;0.1;0.6;0.7;0.7;1.1;1.5;1.1
"....Camarines Norte";1.4;1.0;1.0;0.2;0.1;0.1;1.0;0.7;0.8;1.7;1.2;1.2
"....Camarines Sur 1/, 2/";1.3;2.6;1.8;0.2;0.3;0.2;0.9;2.1;1.4;1.6;3.2;2.2
"....Catanduanes 2/, 3/";0.9;1.0;1.6;0.1;0.1;0.2;0.6;0.8;1.2;1.1;1.2;2.0
"....Masbate 2/, 3/";1.5;1.4;0.6;0.2;0.2;0.1;1.1;1.0;0.4;1.8;1.8;0.8
"....Sorsogon";1.2;1.4;1.6;0.2;0.2;0.2;0.9;1.0;1.3;1.5;1.7;1.9
"..Region VI (Western Visayas) r2, 1/, 2/";0.5;0.9;0.5;0.1;0.1;0.1;0.4;0.7;0.4;0.6;1.1;0.6
"....Aklan 1/, 2/, 3/";0.4;1.0;0.1;0.1;0.2;0.0;0.2;0.7;0.0;0.5;1.3;0.1
"....Antique 1/, 2/";0.7;1.5;0.8;0.1;0.2;0.2;0.5;1.0;0.5;0.9;2.0;1.1
"....Capiz 1/, 3/";0.1;0.2;0.4;0.0;0.1;0.1;0.0;0.1;0.2;0.2;0.3;0.5
"....Guimaras 2/, 3/";0.3;0.3;0.1;0.1;0.1;0.0;0.1;0.2;0.0;0.4;0.4;0.1
"....Iloilo 2/";0.6;1.0;0.6;0.1;0.2;0.1;0.4;0.6;0.4;0.8;1.3;0.8
"..Negros Island Region (NIR) 2/, 3/";1.2;1.3;1.9;0.2;0.1;0.2;0.9;1.1;1.5;1.6;1.6;2.2
"....Negros Occidental 2/";1.0;1.0;1.7;0.2;0.1;0.2;0.6;0.7;1.2;1.5;1.2;2.1
"....Negros Oriental";1.8;2.3;2.5;0.3;0.4;0.3;1.2;1.5;1.9;2.3;3.0;3.0
"....Siquijor 1/, 3/";0.4;0.1;0.1;0.1;0.0;0.0;0.2;0.0;0.0;0.6;0.1;0.1
"..Region VII (Central Visayas) r2, 1/, 2/";0.7;2.2;0.8;0.1;0.2;0.1;0.5;1.7;0.6;0.9;2.6;1.0
"....Bohol 1/, 2/";0.8;1.6;1.1;0.1;0.2;0.2;0.6;1.2;0.7;1.0;1.9;1.4
"....Cebu 1/, 2/";0.7;2.3;0.8;0.1;0.3;0.1;0.4;1.7;0.6;1.0;2.9;0.9
"..Region VIII (Eastern Visayas) 2/, 3/";1.8;1.8;1.4;0.1;0.1;0.1;1.6;1.5;1.2;2.0;2.0;1.6
"....Biliran 1/, 2/, 3/";0.6;1.5;0.3;0.1;0.2;0.1;0.4;1.1;0.2;0.8;1.9;0.4
"....Eastern Samar 1/, 2/, 3/";4.3;2.6;1.6;0.3;0.3;0.2;3.6;2.0;1.2;4.9;3.1;2.0
"....Leyte";1.5;1.9;1.4;0.2;0.2;0.1;1.2;1.4;1.1;1.9;2.3;1.7
"....Northern Samar 1/, 2/";1.9;1.0;1.5;0.2;0.1;0.2;1.5;0.8;1.1;2.3;1.3;2.0
"....Southern Leyte 2/, 3/";0.9;1.0;0.3;0.1;0.1;0.1;0.7;0.7;0.2;1.2;1.2;0.4
"....Samar";1.6;2.1;2.0;0.2;0.3;0.3;1.1;1.6;1.5;2.1;2.7;2.5
"..Region IX (Zamboanga Peninsula)";2.1;2.3;2.0;0.2;0.2;0.2;1.8;2.0;1.7;2.4;2.6;2.4
"....Zamboanga del Norte 2/";3.8;4.8;3.3;0.4;0.5;0.4;3.0;3.8;2.5;4.7;5.7;4.0
"....Zamboanga del Sur 2/, 3/";1.2;1.0;1.9;0.2;0.2;0.3;0.9;0.7;1.4;1.5;1.4;2.5
"....Zamboanga Sibugay 2/, 3/";2.0;2.2;0.8;0.3;0.3;0.1;1.5;1.6;0.6;2.5;2.7;1.0
"....Isabela City 1/, 3/";3.2;0.6;0.3;0.5;0.1;0.1;2.2;0.3;0.1;4.2;0.9;0.5
"..Region X (Northern Mindanao) 1/, 2/, 3/";1.0;1.5;1.2;0.1;0.1;0.1;0.9;1.3;1.1;1.1;1.8;1.4
"....Bukidnon 1/";1.3;2.1;1.4;0.2;0.3;0.2;1.0;1.4;1.1;1.6;2.7;1.7
"....Camiguin 2/, 3/";0.9;1.1;0.4;0.1;0.2;0.1;0.7;0.7;0.3;1.2;1.5;0.6
"....Lanao del Norte 1/, 3/";1.0;2.4;2.0;0.1;0.4;0.2;0.8;1.7;1.6;1.3;3.1;2.5
"....Misamis Occidental 2/";1.1;1.0;1.5;0.2;0.2;0.2;0.7;0.7;1.2;1.4;1.3;1.8
"....Misamis Oriental 2/";0.6;0.8;0.5;0.1;0.1;0.1;0.5;0.7;0.4;0.8;1.0;0.6
"..Region XI (Davao Region)";0.9;0.8;0.8;0.1;0.1;0.2;0.7;0.7;0.5;1.1;1.0;1.1
"....Davao del Norte";0.5;0.5;0.5;0.1;0.2;0.2;0.3;0.1;0.2;0.8;0.9;0.9
"....Davao del Sur";0.6;0.5;0.8;0.2;0.1;0.3;0.2;0.3;0.3;1.0;0.7;1.4
"....Davao Oriental 1/";1.8;1.2;1.7;0.2;0.2;0.2;1.5;0.8;1.3;2.2;1.6;2.1
"....Davao de Oro 2/, 3/";1.3;1.2;0.3;0.2;0.2;0.1;1.0;0.7;0.2;1.6;1.6;0.4
"....Davao Occidental 1/, 2/";2.1;3.2;1.3;0.3;0.4;0.5;1.6;2.4;0.3;2.7;4.1;2.3
"..Region XII (SOCCSKSARGEN) 2/, 3/, 4/";2.2;1.9;1.4;0.2;0.2;0.1;1.8;1.6;1.1;2.7;2.2;1.6
"....Cotabato";2.1;2.2;1.5;0.3;0.3;0.3;1.5;1.5;1.0;2.8;2.8;2.0
"....Sarangani 2/, 3/";5.2;3.7;2.0;0.9;0.5;0.5;3.4;2.8;1.1;7.0;4.6;3.0
"....South Cotabato 2/";1.2;1.1;0.6;0.4;0.2;0.1;0.5;0.8;0.4;1.9;1.4;0.8
"....Sultan Kudarat";2.5;2.0;2.3;0.4;0.3;0.4;1.7;1.5;1.5;3.3;2.6;3.2
"..Region XIII (Caraga) 1/, 2/, 3/";1.8;2.1;0.9;0.1;0.1;0.1;1.6;1.9;0.8;2.0;2.4;1.1
"....Agusan del Norte 1/, 2/, 3/";1.4;2.1;1.0;0.1;0.2;0.1;1.2;1.8;0.8;1.7;2.4;1.2
"....Agusan del Sur 2/, 3/";2.4;2.9;1.6;0.3;0.3;0.2;1.8;2.4;1.2;3.0;3.5;2.0
"....Surigao del Norte 2/, 3/";2.1;1.6;0.3;0.2;0.3;0.1;1.6;1.1;0.2;2.5;2.2;0.4
"....Surigao del Sur 2/, 3/";1.3;1.8;0.5;0.2;0.3;0.1;1.0;1.3;0.3;1.7;2.3;0.6
"....Dinagat Islands";1.8;2.0;1.7;0.3;0.4;0.2;1.2;1.2;1.3;2.4;2.7;2.2
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) r2, 1/, 2/, 3/, 5/";5.4;2.1;1.4;0.2;0.1;0.1;4.9;1.8;1.2;5.9;2.3;1.6
"....Basilan 1/, 2/, 3/";8.1;4.1;1.9;0.6;0.5;0.2;7.0;3.2;1.5;9.2;4.9;2.3
"....Lanao del Sur 1/, 2/, 3/";7.8;0.1;0.3;0.6;0.0;0.1;6.6;0.1;0.2;8.9;0.2;0.4
"....Maguindanao 1/, 3/";3.7;2.1;1.9;0.5;0.3;0.2;2.8;1.5;1.5;4.6;2.6;2.2
"......Maguindanao del Norte";..;..;1.7;..;..;0.2;..;..;1.4;..;..;2.0
"......Maguindanao del Sur";..;..;2.0;..;..;0.3;..;..;1.4;..;..;2.6
"....Sulu r1, 1/, 2/, 3/";7.4;3.3;0.5;0.4;0.4;0.1;6.6;2.4;0.3;8.1;4.1;0.8
"....Tawi-tawi 1/, 3/";0.6;1.9;2.4;0.1;0.3;0.4;0.4;1.3;1.7;0.8;2.4;3.1
"....Cotabato City";2.6;2.6;2.2;0.3;0.3;0.3;2.0;2.0;1.6;3.2;3.2;2.8
